,,Valor,Valor,Valor,Valor,Valor,Valor,Valor,Valor,datetime,datetime,datetime,datetime,datetime,datetime,datetime,datetime,year,year,year,year,year,year,year,year,month,month,month,month,month,month,month,month,day,day,day,day,day,day,day,day
,,count,mean,min,25%,50%,75%,max,std,count,mean,min,25%,50%,75%,max,std,count,mean,min,25%,50%,75%,max,std,count,mean,min,25%,50%,75%,max,std,count,mean,min,25%,50%,75%,max,std
Estacao,Poluente,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Americana,MP10,37270.0,32.35492353099007,0.0,15.0,25.0,42.0,373.0,26.298928976018804,37270,2020-09-25 17:22:51.033002496,2018-05-11 17:00:00,2019-07-18 06:15:00,2020-10-15 00:30:00,2021-12-02 00:45:00,2023-01-01 00:00:00,,37270.0,2020.1974778642339,2018.0,2019.0,2020.0,2021.0,2022.0,1.377192225904052,37270.0,6.970217332975584,1.0,4.0,7.0,10.0,12.0,3.3219759070640116,37270.0,15.720982023074859,1.0,8.0,16.0,23.0,31.0,8.774977370824788
Americana,O3,36066.0,54.05171075250929,1.0,28.0,48.0,76.0,203.0,32.91434108209694,36066,2020-08-07 17:03:04.162368768,2018-02-26 13:00:00,2019-04-02 03:15:00,2020-10-02 18:30:00,2021-11-23 09:45:00,2023-01-01 00:00:00,,36066.0,2020.0811567681474,2018.0,2019.0,2020.0,2021.0,2022.0,1.4522622665434128,36066.0,6.7560860644374205,1.0,4.0,7.0,10.0,12.0,3.390820700731212,36066.0,15.733710419785949,1.0,8.0,16.0,23.0,31.0,8.839048754727004
Americana - Vila Santa Maria,MP10,24841.0,34.45750976208687,0.0,16.0,27.0,45.0,372.0,26.85174556706032,24841,2016-09-05 05:47:30.899722240,2015-01-01 01:00:00,2015-12-13 08:00:00,2016-09-16 13:00:00,2017-06-02 21:00:00,2018-02-22 10:00:00,,24841.0,2016.1760396119319,2015.0,2015.0,2016.0,2017.0,2018.0,0.880253467216559,24841.0,6.549293506702629,1.0,4.0,7.0,10.0,12.0,3.5372522366535093,24841.0,15.755203091662976,1.0,8.0,16.0,23.0,31.0,8.809402434674832
Americana - Vila Santa Maria,O3,24479.0,37.58748314882144,0.0,11.0,30.0,58.0,180.0,31.77500797523108,24479,2016-07-18 15:30:01.250051328,2015-01-01 01:00:00,2015-10-01 04:30:00,2016-07-10 10:00:00,2017-05-05 01:30:00,2018-02-22 10:00:00,,24479.0,2016.0663017280117,2015.0,2015.0,2016.0,2017.0,2018.0,0.8942214536386376,24479.0,6.283099799828424,1.0,3.0,6.0,9.0,12.0,3.4979486850371893,24479.0,15.381143020548224,1.0,8.0,15.0,23.0,31.0,8.729392961691323
Araraquara,MP10,68227.0,28.077916367420524,0.0,13.0,22.0,37.0,679.0,23.1077834652988,68227,2018-12-28 00:26:52.763275520,2015-01-01 01:00:00,2016-12-30 11:30:00,2018-12-28 15:00:00,2020-12-15 04:30:00,2023-01-01 00:00:00,,68227.0,2018.4889852990752,2015.0,2016.0,2018.0,2020.0,2022.0,2.2906415800221023,68227.0,6.519325193838217,1.0,3.0,7.0,10.0,12.0,3.4623944920051475,68227.0,15.735720462573468,1.0,8.0,16.0,23.0,31.0,8.81890936381265
Araraquara,NO,8061.0,2.011288921969979,0.0,0.0,0.0,1.0,133.0,6.6394188352586765,8061,2017-07-01 14:45:49.237067264,2017-01-01 02:00:00,2017-04-01 16:00:00,2017-06-28 22:00:00,2017-10-01 03:00:00,2017-12-31 23:00:00,,8061.0,2017.0,2017.0,2017.0,2017.0,2017.0,2017.0,0.0,8061.0,6.494603647190175,1.0,4.0,6.0,10.0,12.0,3.459532363775704,8061.0,15.750155067609478,1.0,8.0,16.0,23.0,31.0,8.808824333712424
Araraquara,NO2,62871.0,16.84628843186843,0.0,6.0,11.0,22.0,183.0,16.854091106060327,62871,2018-12-09 04:48:49.885002752,2015-01-01 02:00:00,2016-12-07 21:30:00,2018-11-10 08:00:00,2021-01-24 14:30:00,2023-01-01 00:00:00,,62871.0,2018.4487283485232,2015.0,2016.0,2018.0,2021.0,2022.0,2.313054754497479,62871.0,6.3851855386426175,1.0,3.0,6.0,9.0,12.0,3.4766758150010477,62871.0,15.707082756755897,1.0,8.0,16.0,23.0,31.0,8.80275311927465
Araraquara,O3,62792.0,51.022168429099246,0.0,29.0,48.0,70.0,184.0,29.016154784574283,62792,2018-12-25 03:40:19.416485888,2015-01-01 01:00:00,2016-11-25 20:45:00,2018-12-17 11:30:00,2021-01-24 01:15:00,2023-01-01 00:00:00,,62792.0,2018.4832621990063,2015.0,2016.0,2018.0,2021.0,2022.0,2.322737802849137,62792.0,6.496002675500064,1.0,3.0,6.0,10.0,12.0,3.525238489536368,62792.0,15.644620333800484,1.0,8.0,16.0,23.0,31.0,8.792250528700974
Araçatuba,MP10,69158.0,27.53552734318517,0.0,12.0,22.0,37.0,611.0,21.566763056297738,69158,2018-12-29 11:34:37.503687424,2015-01-01 01:00:00,2016-12-29 14:15:00,2018-12-25 01:30:00,2020-12-26 09:45:00,2023-01-01 00:00:00,,69158.0,2018.4934353220162,2015.0,2016.0,2018.0,2020.0,2022.0,2.294252854413966,69158.0,6.513476387402759,1.0,4.0,7.0,10.0,12.0,3.4485825332862112,69158.0,15.754952427774082,1.0,8.0,16.0,23.0,31.0,8.811256777695203
Araçatuba,O3,59714.0,45.18138125062799,0.0,27.0,42.0,61.0,156.0,24.540052270098418,59714,2018-10-03 18:32:16.249455360,2015-01-01 01:00:00,2016-10-24 19:15:00,2018-08-17 18:30:00,2020-06-14 18:45:00,2023-01-01 00:00:00,,59714.0,2018.2520681917138,2015.0,2016.0,2018.0,2020.0,2022.0,2.2698847316172217,59714.0,6.559433298723917,1.0,3.0,7.0,10.0,12.0,3.5167719497728167,59714.0,15.801353116522089,1.0,8.0,16.0,23.0,31.0,8.809915858348605
Barretos - América,MP10,74.0,38.054054054054056,3.0,25.0,32.0,50.0,85.0,19.955355577293435,74,2015-12-29 23:03:14.594594304,2015-01-09 01:00:00,2015-05-10 13:00:00,2016-03-03 01:00:00,2016-06-26 13:00:00,2016-11-25 01:00:00,,74.0,2015.554054054054,2015.0,2015.0,2016.0,2016.0,2016.0,0.5004625775806639,74.0,5.8108108108108105,1.0,3.0,5.0,7.75,12.0,3.292480747182352,74.0,15.783783783783784,1.0,9.0,16.0,23.0,29.0,8.41927057373179
Bauru,MP10,64549.0,25.82870377542642,0.0,12.0,20.0,33.0,443.0,20.559629086379456,64549,2018-12-05 04:57:25.066538752,2015-01-01 01:00:00,2016-12-02 23:00:00,2018-11-27 13:00:00,2020-11-27 12:00:00,2023-01-01 00:00:00,,64549.0,2018.431935428899,2015.0,2016.0,2018.0,2020.0,2022.0,2.2899595487426017,64549.0,6.453159615176068,1.0,3.0,6.0,9.0,12.0,3.478832377650279,64549.0,15.773133588436691,1.0,8.0,16.0,23.0,31.0,8.809122243142694
Bauru,NO,6801.0,3.791942361417439,0.0,0.0,1.0,3.0,237.0,11.766744004892658,6801,2017-06-13 12:13:18.235553536,2017-01-01 01:00:00,2017-03-17 09:00:00,2017-06-07 19:00:00,2017-09-08 12:00:00,2017-12-31 23:00:00,,6801.0,2017.0,2017.0,2017.0,2017.0,2017.0,2017.0,0.0,6801.0,5.925158064990443,1.0,3.0,6.0,9.0,12.0,3.259035075869402,6801.0,14.995147772386414,1.0,7.0,15.0,22.0,31.0,8.900866116782986
Bauru,NO2,63637.0,15.745179691060232,0.0,6.0,10.0,19.0,133.0,15.418247494538774,63637,2019-01-06 09:13:49.837987072,2015-01-01 02:00:00,2016-12-08 05:00:00,2019-01-16 08:00:00,2021-01-23 16:00:00,2023-01-01 00:00:00,,63637.0,2018.5158476986658,2015.0,2016.0,2019.0,2021.0,2022.0,2.308894994685688,63637.0,6.505444945550544,1.0,4.0,7.0,9.0,12.0,3.4184724534308124,63637.0,15.698728726998445,1.0,8.0,16.0,23.0,31.0,8.765380085169992
